tenure,InternetService,TechSupport,Contract,PaymentMethod,MonthlyCharges,TotalCharges,AverageCharges,Churn
45,No,No internet service,One year,Credit card (automatic),25.9,1216.6,27.04,0
1,Fiber optic,No,Month-to-month,Electronic check,79.35,79.35,79.35,1
11,DSL,No,Month-to-month,Electronic check,50.55,565.35,51.4,0
7,Fiber optic,No,Month-to-month,Bank transfer (automatic),75.15,496.9,70.99,1
42,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),103.8,4327.5,103.04,0
49,No,No internet service,Two year,Bank transfer (automatic),20.15,973.35,19.86,0
9,Fiber optic,No,Month-to-month,Credit card (automatic),99.3,918.75,102.08,0
35,DSL,No,One year,Bank transfer (automatic),62.15,2215.45,63.3,0
48,No,No internet service,Two year,Bank transfer (automatic),20.65,1057.0,22.02,0
46,No,No internet service,Two year,Mailed check,19.95,927.1,20.15,0
29,DSL,No,Month-to-month,Mailed check,33.75,1009.25,34.8,0
30,Fiber optic,No,Month-to-month,Bank transfer (automatic),82.05,2570.2,85.67,0
1,Fiber optic,Yes,Month-to-month,Electronic check,74.7,74.7,74.7,0
66,DSL,Yes,Two year,Mailed check,84.0,5714.25,86.58,0
65,Fiber optic,No,Month-to-month,Credit card (automatic),111.05,7107.0,109.34,0
72,Fiber optic,No,Two year,Bank transfer (automatic),100.9,7459.05,103.6,0
12,Fiber optic,No,Month-to-month,Electronic check,78.95,927.35,77.28,1
71,DSL,Yes,One year,Credit card (automatic),66.85,4748.7,66.88,0
5,No,No internet service,Month-to-month,Mailed check,21.05,113.85,22.77,1
52,No,No internet service,Two year,Bank transfer (automatic),21.0,1107.2,21.29,0
25,Fiber optic,No,Month-to-month,Electronic check,98.5,2514.5,100.58,1
1,No,No internet service,Month-to-month,Mailed check,20.2,20.2,20.2,0
1,No,No internet service,Month-to-month,Electronic check,19.45,19.45,19.45,0
38,Fiber optic,Yes,One year,Bank transfer (automatic),95.0,3605.6,94.88,0
66,DSL,No,One year,Bank transfer (automatic),45.55,3027.25,45.87,0
68,Fiber optic,Yes,Two year,Bank transfer (automatic),110.0,7611.85,111.94,1
5,DSL,No,Month-to-month,Mailed check,24.3,100.2,20.04,0
72,Fiber optic,No,One year,Electronic check,104.15,7303.05,101.43,0
32,DSL,No,One year,Mailed check,30.15,927.65,28.99,0
43,Fiber optic,No,One year,Mailed check,94.35,3921.3,91.19,0
72,No,No internet service,Two year,Credit card (automatic),19.4,1363.25,18.93,0
55,Fiber optic,No,Month-to-month,Electronic check,96.75,5238.9,95.25,1
52,DSL,Yes,One year,Credit card (automatic),57.95,3042.25,58.5,0
43,Fiber optic,No,Month-to-month,Electronic check,91.65,3954.1,91.96,0
37,Fiber optic,No,Month-to-month,Electronic check,76.5,2868.15,77.52,1
64,DSL,Yes,Two year,Electronic check,54.6,3423.5,53.49,0
3,Fiber optic,No,Month-to-month,Electronic check,89.85,248.4,82.8,0
36,DSL,No,Two year,Bank transfer (automatic),31.05,1126.35,31.29,0
10,Fiber optic,No,Month-to-month,Electronic check,100.25,1064.65,106.46,1
41,No,No internet service,Two year,Mailed check,20.65,835.15,20.37,0
27,Fiber optic,Yes,Month-to-month,Credit card (automatic),85.2,2151.6,79.69,0
56,Fiber optic,No,One year,Credit card (automatic),99.8,5515.45,98.49,0
6,No,No internet service,Month-to-month,Mailed check,20.7,112.75,18.79,0
3,Fiber optic,No,Month-to-month,Electronic check,74.4,229.55,76.52,1
7,DSL,No,Month-to-month,Mailed check,50.7,350.35,50.05,0
4,No,No internet service,Month-to-month,Mailed check,20.85,62.9,15.72,0
33,Fiber optic,Yes,Two year,Electronic check,88.95,3027.65,91.75,0
27,Fiber optic,No,Month-to-month,Electronic check,78.05,2135.5,79.09,1
72,No,No internet service,Two year,Bank transfer (automatic),23.55,1723.95,23.94,0
1,No,No internet service,Month-to-month,Mailed check,19.75,19.75,19.75,0
71,DSL,No,One year,Electronic check,56.45,3985.35,56.13,0
13,Fiber optic,No,Month-to-month,Electronic check,85.95,1215.65,93.51,0
25,DSL,No,Month-to-month,Credit card (automatic),58.6,1502.65,60.11,1
67,DSL,Yes,Two year,Bank transfer (automatic),50.55,3260.1,48.66,0
1,DSL,No,Month-to-month,Electronic check,35.45,35.45,35.45,1
2,DSL,No,Month-to-month,Electronic check,44.35,81.25,40.62,1
43,No,No internet service,Two year,Credit card (automatic),25.7,1188.2,27.63,0
23,Fiber optic,No,Month-to-month,Bank transfer (automatic),75.0,1778.5,77.33,0
64,No,No internet service,Two year,Mailed check,20.2,1277.75,19.96,0
57,No,No internet service,Two year,Mailed check,19.6,1170.55,20.54,0
1,Fiber optic,No,Month-to-month,Mailed check,70.45,70.45,70.45,1
72,DSL,Yes,Two year,Credit card (automatic),88.05,6425.65,89.25,0
8,DSL,Yes,Month-to-month,Electronic check,71.15,563.65,70.46,1
61,Fiber optic,No,Two year,Bank transfer (automatic),101.05,5971.25,97.89,0
64,Fiber optic,No,One year,Credit card (automatic),84.3,5289.05,82.64,0
71,No,No internet service,Two year,Bank transfer (automatic),23.95,1756.2,24.74,0
65,Fiber optic,Yes,Two year,Credit card (automatic),99.05,6416.7,98.72,0
3,No,No internet service,One year,Mailed check,19.6,61.35,20.45,0
1,DSL,No,Month-to-month,Electronic check,45.65,45.65,45.65,1
30,DSL,No,One year,Credit card (automatic),64.5,1929.95,64.33,0
15,DSL,Yes,Month-to-month,Mailed check,69.5,1071.4,71.43,0
8,DSL,Yes,Month-to-month,Electronic check,68.55,564.35,70.54,0
7,Fiber optic,No,Month-to-month,Mailed check,95.0,655.5,93.64,1
70,Fiber optic,No,One year,Credit card (automatic),108.15,7930.55,113.29,0
62,DSL,Yes,Two year,Electronic check,86.1,5215.25,84.12,0
6,No,No internet service,Month-to-month,Mailed check,19.7,113.5,18.92,0
14,Fiber optic,No,Month-to-month,Bank transfer (automatic),80.9,1152.8,82.34,0
22,Fiber optic,No,Month-to-month,Bank transfer (automatic),84.15,1821.95,82.82,0
22,No,No internet service,One year,Mailed check,20.15,419.9,19.09,0
16,DSL,No,Two year,Mailed check,64.25,1024.0,64.0,0
10,No,No internet service,Two year,Bank transfer (automatic),25.7,251.6,25.16,0
13,DSL,No,Month-to-month,Electronic check,56.0,764.55,58.81,0
20,Fiber optic,No,Month-to-month,Electronic check,82.4,1592.35,79.62,1
2,Fiber optic,No,Month-to-month,Electronic check,69.7,135.2,67.6,0
53,DSL,Yes,Two year,Bank transfer (automatic),73.9,3958.25,74.68,0
11,No,No internet service,One year,Mailed check,20.6,233.9,21.26,0
69,No,No internet service,Two year,Mailed check,19.9,1363.45,19.76,0
4,Fiber optic,No,Month-to-month,Bank transfer (automatic),70.9,273.0,68.25,1
72,DSL,Yes,Two year,Bank transfer (automatic),89.05,6254.45,86.87,0
58,DSL,No,Month-to-month,Electronic check,45.3,2651.2,45.71,1
16,No,No internet service,Month-to-month,Electronic check,20.4,321.4,20.09,0
43,Fiber optic,Yes,One year,Bank transfer (automatic),84.25,3539.25,82.31,0
2,Fiber optic,Yes,Month-to-month,Electronic check,104.4,242.8,121.4,1
14,DSL,Yes,Two year,Mailed check,81.95,1181.75,84.41,0
53,Fiber optic,No,One year,Bank transfer (automatic),94.85,5000.2,94.34,1
32,No,No internet service,One year,Bank transfer (automatic),20.55,654.55,20.45,0
34,No,No internet service,Month-to-month,Electronic check,24.7,780.2,22.95,0
15,Fiber optic,No,Month-to-month,Mailed check,74.45,1145.7,76.38,1
7,Fiber optic,No,Month-to-month,Bank transfer (automatic),76.45,503.6,71.94,1
15,Fiber optic,No,Month-to-month,Bank transfer (automatic),105.35,1559.25,103.95,0
61,No,No internet service,One year,Credit card (automatic),20.55,1252.0,20.52,0
1,DSL,No,Month-to-month,Bank transfer (automatic),29.95,29.95,29.95,1
1,DSL,No,Month-to-month,Mailed check,45.3,45.3,45.3,0
8,Fiber optic,No,Month-to-month,Bank transfer (automatic),84.5,662.65,82.83,1
33,DSL,No,One year,Credit card (automatic),74.75,2453.3,74.34,0
13,Fiber optic,No,Month-to-month,Electronic check,79.25,1111.65,85.51,1
1,DSL,No,Month-to-month,Electronic check,24.8,24.8,24.8,1
20,DSL,No,Month-to-month,Mailed check,51.8,1023.85,51.19,0
3,DSL,Yes,Month-to-month,Electronic check,30.4,82.15,27.38,0
13,No,No internet service,One year,Electronic check,19.65,244.8,18.83,0
40,DSL,No,Month-to-month,Credit card (automatic),56.6,2379.1,59.48,0
43,DSL,Yes,One year,Credit card (automatic),71.9,3173.35,73.8,0
6,Fiber optic,No,Month-to-month,Electronic check,91.0,531.0,88.5,1
69,No,No internet service,Two year,Bank transfer (automatic),19.75,1375.4,19.93,0
72,Fiber optic,No,Two year,Credit card (automatic),109.7,8129.3,112.91,0
59,No,No internet service,Two year,Credit card (automatic),19.3,1192.7,20.22,0
20,Fiber optic,Yes,Month-to-month,Electronic check,96.55,1901.65,95.08,0
24,No,No internet service,Two year,Bank transfer (automatic),24.1,587.4,24.48,0
59,Fiber optic,Yes,Month-to-month,Electronic check,111.35,6519.75,110.5,0
72,Fiber optic,Yes,Two year,Bank transfer (automatic),112.25,8041.65,111.69,0
1,No,No internet service,Month-to-month,Mailed check,20.75,20.75,20.75,0
27,Fiber optic,Yes,One year,Credit card (automatic),101.9,2681.15,99.3,0
14,Fiber optic,Yes,Month-to-month,Credit card (automatic),80.05,1112.3,79.45,0
71,Fiber optic,No,Two year,Electronic check,105.55,7405.5,104.3,0
13,Fiber optic,No,Month-to-month,Credit card (automatic),78.3,1033.95,79.53,0
44,Fiber optic,No,Month-to-month,Credit card (automatic),68.85,2958.95,67.25,0
33,Fiber optic,Yes,One year,Bank transfer (automatic),79.95,2684.85,81.36,0
72,DSL,Yes,Two year,Credit card (automatic),55.45,4179.2,58.04,0
1,Fiber optic,No,Month-to-month,Electronic check,79.9,79.9,79.9,1
19,Fiber optic,Yes,Month-to-month,Electronic check,106.6,1934.45,101.81,1
64,Fiber optic,Yes,One year,Credit card (automatic),102.45,6654.1,103.97,0
2,DSL,No,Month-to-month,Credit card (automatic),46.0,84.5,42.25,1
1,DSL,No,Month-to-month,Electronic check,25.25,25.25,25.25,0
61,No,No internet service,Two year,Mailed check,19.75,1124.2,18.43,0
29,No,No internet service,One year,Electronic check,20.0,540.05,18.62,0
23,Fiber optic,No,Month-to-month,Electronic check,86.8,1975.85,85.91,0
57,DSL,No,Month-to-month,Bank transfer (automatic),58.75,3437.45,60.31,0
72,DSL,Yes,Two year,Credit card (automatic),45.25,3139.8,43.61,0
66,DSL,Yes,Two year,Bank transfer (automatic),56.6,3789.2,57.41,0
65,DSL,Yes,Two year,Bank transfer (automatic),84.2,5324.5,81.92,0
8,Fiber optic,No,Month-to-month,Bank transfer (automatic),80.0,624.6,78.08,0
4,Fiber optic,No,Month-to-month,Electronic check,70.15,268.35,67.09,1
71,No,No internet service,Two year,Bank transfer (automatic),24.75,1836.9,25.87,0
1,No,No internet service,One year,Electronic check,20.2,20.2,20.2,0
4,DSL,Yes,Month-to-month,Mailed check,50.05,179.35,44.84,1
12,No,No internet service,One year,Bank transfer (automatic),19.35,219.35,18.28,0
24,DSL,No,One year,Mailed check,50.6,1288.75,53.7,0
31,DSL,Yes,One year,Mailed check,81.15,2545.75,82.12,0
1,DSL,No,Month-to-month,Mailed check,55.2,55.2,55.2,1
30,Fiber optic,Yes,Month-to-month,Credit card (automatic),89.9,2723.15,90.77,0
47,DSL,Yes,Two year,Credit card (automatic),85.3,4107.25,87.39,0
54,Fiber optic,Yes,Two year,Credit card (automatic),108.0,5760.65,106.68,0
50,Fiber optic,Yes,Month-to-month,Credit card (automatic),93.5,4747.5,94.95,0
1,Fiber optic,No,Month-to-month,Mailed check,84.6,84.6,84.6,1
72,No,No internet service,Two year,Credit card (automatic),20.25,1566.9,21.76,0
29,No,No internet service,Month-to-month,Electronic check,25.15,702.0,24.21,0
2,DSL,No,Month-to-month,Mailed check,54.4,114.1,57.05,1
10,DSL,Yes,Two year,Mailed check,29.6,299.05,29.9,0
18,Fiber optic,No,Month-to-month,Electronic check,73.15,1305.95,72.55,0
11,Fiber optic,No,Month-to-month,Electronic check,95.0,1120.3,101.85,1
16,No,No internet service,Two year,Mailed check,19.75,284.35,17.77,0
72,DSL,Yes,Two year,Bank transfer (automatic),86.6,6350.5,88.2,0
72,Fiber optic,Yes,Two year,Bank transfer (automatic),109.2,7878.3,109.42,0
41,DSL,Yes,One year,Credit card (automatic),74.7,3187.65,77.75,0
65,Fiber optic,No,Month-to-month,Electronic check,94.4,6126.15,94.25,0
13,DSL,No,Month-to-month,Electronic check,54.8,731.3,56.25,0
4,Fiber optic,No,Month-to-month,Electronic check,75.35,273.4,68.35,0
41,DSL,No,One year,Mailed check,65.0,2531.8,61.75,0
15,Fiber optic,No,Month-to-month,Electronic check,74.4,1074.3,71.62,1
1,DSL,No,Month-to-month,Mailed check,48.55,48.55,48.55,1
42,Fiber optic,No,One year,Electronic check,99.0,4298.45,102.34,0
51,Fiber optic,No,One year,Electronic check,93.5,4619.55,90.58,0
2,Fiber optic,No,Month-to-month,Electronic check,70.4,147.15,73.58,1
1,DSL,No,Month-to-month,Electronic check,40.2,40.2,40.2,1
32,DSL,Yes,One year,Credit card (automatic),83.7,2633.3,82.29,0
10,No,No internet service,Month-to-month,Mailed check,19.85,193.05,19.3,0
67,DSL,Yes,Two year,Electronic check,59.55,4103.9,61.25,0
61,Fiber optic,Yes,Two year,Credit card (automatic),115.1,7008.15,114.89,0
50,Fiber optic,Yes,One year,Credit card (automatic),114.35,5791.1,115.82,0
2,DSL,No,Month-to-month,Credit card (automatic),44.6,80.55,40.28,1
29,DSL,No,Month-to-month,Electronic check,45.0,1228.65,42.37,0
3,DSL,No,Month-to-month,Electronic check,41.15,132.2,44.07,1
13,Fiber optic,No,Month-to-month,Electronic check,106.9,1364.3,104.95,1
57,Fiber optic,No,Month-to-month,Electronic check,89.85,4925.35,86.41,0
31,DSL,Yes,Two year,Bank transfer (automatic),49.85,1520.1,49.04,0
45,Fiber optic,Yes,One year,Mailed check,113.3,5032.25,111.83,0
61,DSL,Yes,Two year,Mailed check,88.1,5526.75,90.6,0
50,No,No internet service,Two year,Bank transfer (automatic),24.9,1195.25,23.9,0
19,Fiber optic,Yes,Month-to-month,Mailed check,105.0,2007.25,105.64,0
59,No,No internet service,Two year,Mailed check,19.35,1099.6,18.64,1
71,No,No internet service,Two year,Credit card (automatic),24.25,1732.95,24.41,0
16,Fiber optic,Yes,Month-to-month,Electronic check,94.45,1511.2,94.45,1
57,DSL,Yes,Two year,Electronic check,59.75,3450.15,60.53,0
1,DSL,No,Month-to-month,Bank transfer (automatic),24.8,24.8,24.8,1
20,Fiber optic,Yes,Month-to-month,Electronic check,107.05,2172.05,108.6,0
1,Fiber optic,No,Month-to-month,Mailed check,70.6,70.6,70.6,1
5,Fiber optic,Yes,Month-to-month,Electronic check,85.4,401.1,80.22,1
52,Fiber optic,No,Month-to-month,Electronic check,105.05,5624.85,108.17,1
21,DSL,No,Month-to-month,Bank transfer (automatic),64.95,1339.8,63.8,0
14,DSL,Yes,Month-to-month,Electronic check,55.0,771.95,55.14,0
5,DSL,No,Month-to-month,Bank transfer (automatic),50.55,244.75,48.95,0
6,DSL,No,Month-to-month,Mailed check,55.15,322.9,53.82,0
10,DSL,No,Month-to-month,Electronic check,51.2,498.25,49.82,0
1,No,No internet service,Month-to-month,Mailed check,25.4,25.4,25.4,0
68,DSL,No,Month-to-month,Mailed check,54.45,3687.75,54.23,0
18,Fiber optic,No,Month-to-month,Mailed check,95.15,1779.95,98.89,1
22,Fiber optic,No,One year,Credit card (automatic),76.0,1783.6,81.07,0
20,DSL,No,Month-to-month,Electronic check,44.35,927.15,46.36,0
1,Fiber optic,No,Month-to-month,Electronic check,70.0,70.0,70.0,1
8,Fiber optic,No,Month-to-month,Electronic check,74.5,606.55,75.82,1
10,DSL,No,Month-to-month,Credit card (automatic),44.85,435.4,43.54,1
24,Fiber optic,No,Month-to-month,Electronic check,76.1,1712.7,71.36,1
35,DSL,No,One year,Mailed check,61.2,2021.2,57.75,0
23,Fiber optic,Yes,One year,Mailed check,86.8,1940.8,84.38,0
6,Fiber optic,No,Month-to-month,Electronic check,89.35,567.8,94.63,0
12,No,No internet service,Month-to-month,Mailed check,19.7,220.35,18.36,0
1,No,No internet service,Month-to-month,Mailed check,20.25,20.25,20.25,0
71,Fiber optic,No,Two year,Electronic check,76.05,5436.45,76.57,0
35,Fiber optic,No,Month-to-month,Electronic check,100.8,3437.5,98.21,0
40,DSL,No,Month-to-month,Electronic check,74.55,3015.75,75.39,0
1,Fiber optic,No,Month-to-month,Mailed check,73.6,73.6,73.6,1
23,DSL,No,One year,Bank transfer (automatic),64.9,1509.8,65.64,0
4,Fiber optic,No,Month-to-month,Electronic check,95.45,396.1,99.02,1
4,Fiber optic,Yes,Month-to-month,Electronic check,90.4,356.65,89.16,0
68,DSL,Yes,Two year,Credit card (automatic),60.3,4109.0,60.43,0
38,Fiber optic,No,Month-to-month,Mailed check,81.85,3141.7,82.68,0
52,No,No internet service,Two year,Mailed check,24.8,1229.1,23.64,0
32,Fiber optic,No,Month-to-month,Electronic check,74.9,2303.35,71.98,1
29,DSL,Yes,Two year,Mailed check,75.55,2054.4,70.84,0
38,Fiber optic,No,Month-to-month,Electronic check,101.15,3741.85,98.47,0
48,DSL,No,One year,Credit card (automatic),78.75,3682.45,76.72,0
1,No,No internet service,Month-to-month,Bank transfer (automatic),19.25,19.25,19.25,0
22,Fiber optic,Yes,Month-to-month,Electronic check,89.05,1886.25,85.74,0
43,Fiber optic,Yes,Two year,Credit card (automatic),115.05,4895.1,113.84,0
5,Fiber optic,No,Month-to-month,Electronic check,69.35,341.6,68.32,0
5,Fiber optic,No,Month-to-month,Electronic check,80.6,415.55,83.11,1
51,Fiber optic,Yes,One year,Credit card (automatic),110.05,5686.4,111.5,0
71,No,No internet service,Two year,Credit card (automatic),19.9,1355.1,19.09,0
38,DSL,Yes,One year,Credit card (automatic),80.3,3058.65,80.49,1
24,Fiber optic,No,Month-to-month,Electronic check,93.15,2231.05,92.96,1
35,Fiber optic,Yes,Month-to-month,Credit card (automatic),91.5,3236.35,92.47,0
54,DSL,Yes,One year,Bank transfer (automatic),82.45,4350.1,80.56,1
72,DSL,Yes,Two year,Electronic check,60.0,4264.0,59.22,0
1,DSL,No,Month-to-month,Electronic check,44.8,44.8,44.8,0
9,DSL,No,One year,Mailed check,48.6,422.3,46.92,0
69,DSL,Yes,Two year,Bank transfer (automatic),60.05,4176.7,60.53,0
52,Fiber optic,Yes,Month-to-month,Credit card (automatic),102.7,5138.1,98.81,0
11,Fiber optic,Yes,Month-to-month,Electronic check,82.9,880.05,80.0,0
2,Fiber optic,No,Month-to-month,Electronic check,70.35,139.05,69.53,1
28,DSL,No,Month-to-month,Electronic check,35.9,973.65,34.77,0
17,Fiber optic,No,Month-to-month,Credit card (automatic),82.65,1470.05,86.47,0
35,No,No internet service,Two year,Mailed check,19.85,739.35,21.12,0
8,No,No internet service,One year,Mailed check,19.2,161.95,20.24,0
46,Fiber optic,No,One year,Credit card (automatic),94.9,4422.95,96.15,0
7,Fiber optic,No,Month-to-month,Electronic check,73.85,511.25,73.04,1
2,Fiber optic,No,Month-to-month,Mailed check,80.6,155.8,77.9,1
68,DSL,Yes,One year,Bank transfer (automatic),75.8,5293.95,77.85,1
43,Fiber optic,No,Two year,Electronic check,104.6,4759.85,110.69,1
68,DSL,Yes,Two year,Electronic check,88.15,6148.45,90.42,0
36,Fiber optic,No,Month-to-month,Credit card (automatic),94.8,3565.65,99.05,0
63,Fiber optic,No,Month-to-month,Electronic check,103.4,6603.0,104.81,1
32,DSL,Yes,Month-to-month,Bank transfer (automatic),54.65,1830.1,57.19,0
71,DSL,Yes,Two year,Credit card (automatic),85.75,6223.8,87.66,0
66,DSL,No,Month-to-month,Bank transfer (automatic),67.45,4508.65,68.31,0
63,No,No internet service,One year,Mailed check,20.5,1328.15,21.08,0
41,No,No internet service,One year,Credit card (automatic),20.25,865.0,21.1,0
1,Fiber optic,No,Month-to-month,Electronic check,72.1,72.1,72.1,0
2,Fiber optic,No,Month-to-month,Electronic check,90.4,168.2,84.1,1
70,No,No internet service,Two year,Bank transfer (automatic),19.45,1303.5,18.62,0
23,DSL,No,Month-to-month,Electronic check,44.95,996.85,43.34,0
64,Fiber optic,No,One year,Bank transfer (automatic),97.0,6430.9,100.48,0
37,DSL,Yes,Two year,Credit card (automatic),62.8,2278.75,61.59,0
17,DSL,No,One year,Mailed check,44.6,681.4,40.08,0
7,Fiber optic,No,Month-to-month,Electronic check,89.15,574.35,82.05,0
4,Fiber optic,No,Month-to-month,Bank transfer (automatic),84.8,371.9,92.98,1
21,DSL,No,Month-to-month,Electronic check,41.9,840.1,40.0,1
10,Fiber optic,No,Month-to-month,Bank transfer (automatic),80.25,846.0,84.6,1
16,DSL,No,Month-to-month,Electronic check,54.1,889.0,55.56,0
64,Fiber optic,Yes,Two year,Electronic check,105.25,6823.4,106.62,0
27,DSL,No,Month-to-month,Credit card (automatic),30.75,805.1,29.82,1
42,Fiber optic,No,One year,Electronic check,97.1,4016.75,95.64,0
5,No,No internet service,Month-to-month,Mailed check,20.2,83.75,16.75,0
41,Fiber optic,Yes,Two year,Bank transfer (automatic),98.8,3959.15,96.56,0
58,DSL,No,One year,Credit card (automatic),50.3,2878.55,49.63,0
47,No,No internet service,Two year,Mailed check,20.55,945.7,20.12,0
18,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),75.9,1373.05,76.28,0
5,Fiber optic,No,Month-to-month,Bank transfer (automatic),96.5,492.55,98.51,1
